observer,luminance_cd_m2,eccentricity_deg,color_direction,stimulus_size_deg,stimulus_shape,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high,contrast_sensitivity
Obs018,100,10,2,2,1,40,-2.10085610109541,-2.25677620896818,-1.94087144888663,18.5446616708938,14.6224555511876,22.9876978493028,7.41537206629343
Obs002,100,20,2,2,1,40,-1.5719565185516,-1.67161122835805,-1.45040386876957,7.76875780987475,6.10234622371669,9.34191334946166,7.41537206629343
Obs003,100,20,2,2,1,50,-1.68825706928096,-1.77307103378197,-1.59433396547863,9.62378088621862,8.10527754384072,11.1482936681996,7.41537206629343
Obs004,100,20,2,2,1,42,-1.61817864298999,-1.71528349444961,-1.51568845609115,8.47440841645151,6.96401702884699,10.093405502819,7.41537206629343
Obs005,100,20,2,2,1,50,-1.41552277400644,-1.52049976522072,-1.28638726909707,5.6725793376507,4.25740725384333,7.03054622350468,7.41537206629343
Obs006,100,20,2,2,1,50,-1.61551391083545,-1.70946899386884,-1.47717751571644,8.43261167997526,6.44656047936928,9.99110860251847,7.41537206629343
Obs007,100,20,2,2,1,30,-1.53270316410807,-1.64082187908641,-1.41219359701639,7.20118813981114,5.63264927088251,8.83515780382994,7.41537206629343
Obs008,100,20,2,2,1,30,-1.49223959769346,-1.64530200310605,-1.35141563300698,6.64577564873479,4.93624618514144,8.90772651798737,7.41537206629343
Obs009,100,20,2,2,1,51,-1.3653243821578,-1.53855827961352,-1.22862589461722,5.09023149352687,3.70927462527143,7.28403209546805,7.41537206629343
Obs010,100,20,2,2,1,12,-1.43955289490129,-1.75226711858664,NaN,5.96640702418674,NaN,10.7604622955148,7.41537206629343
Obs011,100,20,2,2,1,50,-1.35869874447126,-1.4512676856017,-1.24466917476079,5.01648499928772,3.85648634313583,6.11325583907291,7.41537206629343
Obs012,100,20,2,2,1,42,-1.48169251892254,-1.69241825765876,-1.36677906408442,6.50585320821267,5.10651896324917,9.69511804089568,7.41537206629343
Obs013,100,20,2,2,1,30,-1.53654041867903,-1.65865015199451,-1.40121554002526,7.25541004963663,5.5023071656045,9.12629229611018,7.41537206629343
Obs014,100,20,2,2,1,36,-1.76832939387459,-1.91492633242364,-1.51683410993647,11.0590925787147,6.97982051060305,14.0438508788881,7.41537206629343
Obs016,100,20,2,2,1,30,-1.04778823062465,-1.15495605266775,-0.924649127308634,2.30064994306221,1.58110564050394,3.08124600234476,7.41537206629343
Obs017,100,20,2,2,1,50,-1.96627717603118,-2.10514297697437,-1.77095247535837,15.2042222698884,11.1083796965924,18.6584167154808,7.41537206629343
Obs018,100,20,2,2,1,30,-1.52488885727376,-1.64257095279512,-1.38570739864985,7.09160550520817,5.32162910778943,8.86344208222858,7.41537206629343
Obs001,100,0,3,2,1,58,-2.74846022474472,-3.23283638576742,-2.55159531418595,41.5239218104696,33.2250301300036,67.5742403338075,2.05174079948132
Obs002,100,0,3,2,1,30,-2.89812361898086,-3.00855783892462,-2.77653499147368,48.6833790625812,42.8094303502459,54.4634428143505,2.05174079948132
